WebQTrn-69	what tv show did joey lawrence play on?	what tv show did joey lawrence play on
WebQTrn-70	what timezone is denver co?	what timezone is denver co
WebQTrn-71	what character did brian austin green play on 90210?	what character did brian austin green play on 90210
WebQTrn-72	where does jackie french live?	where does jackie french live
WebQTrn-73	what form of government was practiced in sparta?	what form of government was practiced in sparta
WebQTrn-74	when did the colorado rockies go to the world series?	when did the colorado rockies go to the world series
WebQTrn-75	who was peter parker's first girlfriend?	who was peter parker 's first girlfriend
WebQTrn-76	what college did matt lauer attend?	what college did matt lauer attend
WebQTrn-77	where to go in london england?	where to go in london england
WebQTrn-78	what school did joan miro attend?	what school did joan miro attend
WebQTrn-79	where did france colonise?	where did france colonise
WebQTrn-80	who was vincent van gogh inspired by?	who was vincent van gogh inspired by
WebQTrn-81	where to get married in jacksonville nc?	where to get married in jacksonville nc
WebQTrn-82	what time zone am i in michigan?	what time zone am i in michigan
WebQTrn-83	when did the new york knicks win a championship?	when did the new york knicks win a championship
WebQTrn-84	what is the official language of china 2010?	what is the official language of china 2010
WebQTrn-85	what was woodrow wilson's major accomplishments?	what was woodrow wilson 's major accomplishments
WebQTrn-86	where is jack daniels factory?	where is jack daniels factory
WebQTrn-87	what language do the speak in pakistan?	what language do the speak in pakistan
WebQTrn-88	where is santa clara university?	where is santa clara university
WebQTrn-89	which part of korea is communist?	which part of korea is communist
WebQTrn-90	where did timothy mcveigh go to prison?	where did timothy mcveigh go to prison
WebQTrn-91	what sea does the yangtze river flow into?	what sea does the yangtze river flow into
WebQTrn-92	who miley cyrus engaged to?	who miley cyrus engaged to
WebQTrn-93	what is charles darwin famous for?	what is charles darwin famous for
WebQTrn-94	who founded the roanoke settlement?	who founded the roanoke settlement
WebQTrn-95	what kind of money should i take to jamaica?	what kind of money should i take to jamaica
WebQTrn-96	who is robert downey jr wife?	who is robert downey jr wife
WebQTrn-97	where do the ny rangers play?	where do the ny rangers play
WebQTrn-98	where is jefferson davis buried?	where is jefferson davis buried
WebQTrn-99	who does the author stephenie meyer play in the movie twilight?	who does the author stephenie meyer play in the movie twilight
WebQTrn-100	when will oscar pistorius compete?	when will oscar pistorius compete
WebQTrn-101	what years have the dallas cowboys won the superbowl?	what years have the dallas cowboys won the superbowl
WebQTrn-102	what awards has louis sachar won?	what awards has louis sachar won
WebQTrn-103	who are the current senators from missouri?	who are the current senators from missouri
WebQTrn-104	who was the president after jfk died?	who was the president after jfk died
WebQTrn-105	what is the best currency to take to egypt 2013?	what is the best currency to take to egypt 2013
WebQTrn-106	what are the countries in the united kingdom?	what are the countries in the united kingdom
WebQTrn-107	what planes does the navy have?	what planes does the navy have
WebQTrn-108	where did benjamin franklin died?	where did benjamin franklin died
WebQTrn-109	where to visit in n. ireland?	where to visit in n. ireland
WebQTrn-110	what to do in cancun with family?	what to do in cancun with family
WebQTrn-111	what is the local language of israel?	what is the local language of israel
WebQTrn-112	what city and state was the air force academy established?	what city and state was the air force academy established
WebQTrn-113	what's the national sport of puerto rico?	what 's the national sport of puerto rico
WebQTrn-114	what religion are people in russia?	what religion are people in russia
WebQTrn-115	what did shawnee smith play in?	what did shawnee smith play in
WebQTrn-116	what countries did queen victoria reign over?	what countries did queen victoria reign over
WebQTrn-117	where did dr seuss go to school?	where did dr seuss go to school
WebQTrn-118	what team does luis suarez play for?	what team does luis suarez play for
WebQTrn-119	what are dollars called in spain?	what are dollars called in spain
WebQTrn-120	who plays meg in family guy?	who plays meg in family guy
WebQTrn-121	what high school did tim allen go to?	what high school did tim allen go to
WebQTrn-122	what is the world's tallest building in dubai called?	what is the world 's tallest building in dubai called
WebQTrn-123	where does asiana airlines fly to?	where does asiana airlines fly to
WebQTrn-124	what movie did angelina jolie direct?	what movie did angelina jolie direct
WebQTrn-125	where did martin luther king got shot?	where did martin luther king got shot
WebQTrn-126	where to visit near bangkok?	where to visit near bangkok
WebQTrn-127	who does christina milian have a baby by?	who does christina milian have a baby by
WebQTrn-128	what year did tut became king?	what year did tut became king
WebQTrn-129	who is the current president of the dominican republic in 2010?	who is the current president of the dominican republic in 2010
WebQTrn-130	who has been married to julia roberts?	who has been married to julia roberts
WebQTrn-131	where do baltimore ravens play?	where do baltimore ravens play
WebQTrn-132	where does the un get its funding?	where does the un get its funding
WebQTrn-133	who does brandon dubinsky play for?	who does brandon dubinsky play for
WebQTrn-134	who all has dated taylor swift?	who all has dated taylor swift
WebQTrn-135	what is the dominant language in israel?	what is the dominant language in israel
WebQTrn-136	what are the main languages of nigeria?	what are the main languages of nigeria
WebQTrn-137	what jobs did ben franklin do?	what jobs did ben franklin do
WebQTrn-138	what bible does the catholic church follow?	what bible does the catholic church follow
WebQTrn-139	who plays lola bunny in the looney tunes show?	who plays lola bunny in the looney tunes show
WebQTrn-140	what stadium did the chicago cardinals play in?	what stadium did the chicago cardinals play in
WebQTrn-141	who did rufus wainwright married?	who did rufus wainwright married
WebQTrn-142	where did c.s. lewis go to college?	where did c.s. lewis go to college
WebQTrn-143	what did nick clegg study at university?	what did nick clegg study at university
WebQTrn-144	who is the president of the european union 2011?	who is the president of the european union 2011
WebQTrn-145	what school did cassie bernall go to?	what school did cassie bernall go to
WebQTrn-146	what movie did james frey write?	what movie did james frey write
WebQTrn-147	what did rob kardashian get surgery for?	what did rob kardashian get surgery for
WebQTrn-148	what did st. matthew do?	what did st. matthew do
WebQTrn-149	when does harry potter come out on dvd deathly hallows 2?	when does harry potter come out on dvd deathly hallows 2
WebQTrn-150	what was nelson mandela's religion?	what was nelson mandela 's religion
WebQTrn-151	who will win the 2011 nhl stanley cup?	who will win the 2011 nhl stanley cup
WebQTrn-152	what is henry clay known for?	what is henry clay known for
WebQTrn-153	who did axl rose marry?	who did axl rose marry
WebQTrn-154	what years did brett favre go to the super bowl?	what years did brett favre go to the super bowl
WebQTrn-155	what is the money of spain called?	what is the money of spain called
WebQTrn-156	where are sunbeam microwaves made?	where are sunbeam microwaves made
WebQTrn-157	who was elected president of the philippines?	who was elected president of the philippines
WebQTrn-158	what cities does ryanair fly to?	what cities does ryanair fly to
WebQTrn-159	what time zone is oklahoma state?	what time zone is oklahoma state
WebQTrn-160	who was the apostle paul considered to be?	who was the apostle paul considered to be
WebQTrn-161	what currency does ontario canada use?	what currency does ontario canada use
WebQTrn-162	what instrument does justin bieber?	what instrument does justin bieber
WebQTrn-163	what team did shaq play for first?	what team did shaq play for first
WebQTrn-164	where was kennedy when he got shot?	where was kennedy when he got shot
WebQTrn-165	who do derek fisher play for?	who do derek fisher play for
WebQTrn-166	where did the casey anthony case take place?	where did the casey anthony case take place
WebQTrn-167	where did pres clinton go to college?	where did pres clinton go to college
WebQTrn-168	what was the name of the original seattle baseball team?	what was the name of the original seattle baseball team
WebQTrn-169	who was general cornwallis american revolution?	who was general cornwallis american revolution
WebQTrn-170	what type of monarchy did england have?	what type of monarchy did england have
WebQTrn-171	when were the texas rangers started?	when were the texas rangers started
WebQTrn-172	where did the houston oilers football team go?	where did the houston oilers football team go
WebQTrn-173	what do they call football in spanish?	what do they call football in spanish
WebQTrn-174	where did pauley perrette go to college?	where did pauley perrette go to college
WebQTrn-175	where does niles crane live?	where does niles crane live
WebQTrn-176	where was gabriel faure born?	where was gabriel faure born
WebQTrn-177	who is the governor of kentucky 2012?	who is the governor of kentucky 2012
WebQTrn-178	who is the senator of the united states 2010?	who is the senator of the united states 2010
WebQTrn-179	where did the massive allied invasion of northern france take place in june 1944?	where did the massive allied invasion of northern france take place in june 1944
WebQTrn-180	which countries are part of the united kingdom?	which countries are part of the united kingdom
WebQTrn-181	what is the postcode for london?	what is the postcode for london
WebQTrn-182	who killed vincent chin dvd?	who killed vincent chin dvd
WebQTrn-183	what other books did jules verne wrote?	what other books did jules verne wrote
WebQTrn-184	what is the currency name of brazil?	what is the currency name of brazil
WebQTrn-185	what language does fiji?	what language does fiji
WebQTrn-186	what is the second percy jackson book called?	what is the second percy jackson book called
WebQTrn-187	what did gregor mendel conducted his experiments on?	what did gregor mendel conducted his experiments on
WebQTrn-188	who did jon gosselin cheat with?	who did jon gosselin cheat with
WebQTrn-189	where is mitsubishi headquarters?	where is mitsubishi headquarters
WebQTrn-190	where is jay cutler now?	where is jay cutler now
WebQTrn-191	what are eu countries?	what are eu countries
WebQTrn-192	what influenced vincent van gogh work?	what influenced vincent van gogh work
WebQTrn-193	what time zones are there in the us?	what time zones are there in the us
WebQTrn-194	what are the 5 biggest cities in the usa?	what are the 5 biggest cities in the usa
WebQTrn-195	what language do australian people speak?	what language do australian people speak
WebQTrn-196	who did ben stiller play in megamind?	who did ben stiller play in megamind
WebQTrn-197	what countries did queen victoria rule?	what countries did queen victoria rule
WebQTrn-198	who are betty white's parents?	who are betty white 's parents
WebQTrn-199	where did jeff dunham go to school?	where did jeff dunham go to school
WebQTrn-200	what college did kevjumba?	what college did kevjumba
WebQTrn-201	who does david james play for 2011?	who does david james play for 2011
WebQTrn-202	what was the purpose of the 1964 gulf of tonkin resolution?	what was the purpose of the 1964 gulf of tonkin resolution
WebQTrn-203	what movies did diana ross play in?	what movies did diana ross play in
WebQTrn-204	what is the zip code for minneapolis?	what is the zip code for minneapolis
WebQTrn-205	what country is the west bank located in?	what country is the west bank located in
WebQTrn-206	who won golden boot?	who won golden boot
WebQTrn-207	where did jane mansfield die?	where did jane mansfield die
WebQTrn-208	where is the thames river located?	where is the thames river located
WebQTrn-209	when did kings last win stanley cup?	when did kings last win stanley cup
WebQTrn-210	what school did william shakespeare attend?	what school did william shakespeare attend
WebQTrn-211	what money do they use in chile?	what money do they use in chile
WebQTrn-212	what college did peyton manning?	what college did peyton manning
WebQTrn-213	what are the 2 conferences in the nfl?	what are the 2 conferences in the nfl
WebQTrn-214	when did jennifer lopez start on in living color?	when did jennifer lopez start on in living color
WebQTrn-215	when is portland marathon?	when is portland marathon
WebQTrn-216	what character does ellen play in finding nemo?	what character does ellen play in finding nemo
WebQTrn-217	when was the last time the ny giants were in the super bowl?	when was the last time the ny giants were in the super bowl
WebQTrn-218	what are all the names of harry potter?	what are all the names of harry potter
WebQTrn-219	what does nick cannon play in?	what does nick cannon play in
WebQTrn-220	what sort of government does brazil have?	what sort of government does brazil have
WebQTrn-221	which airport is best to fly into milan?	which airport is best to fly into milan
WebQTrn-222	where did matthias schleiden go to school?	where did matthias schleiden go to school
WebQTrn-223	what county is rihanna from?	what county is rihanna from
WebQTrn-224	what happened to daddy yankee?	what happened to daddy yankee
WebQTrn-225	what country is located in the balkan peninsula?	what country is located in the balkan peninsula
WebQTrn-226	what 6 states border south dakota?	what 6 states border south dakota
WebQTrn-227	what are the main languages spoken in spain?	what are the main languages spoken in spain
WebQTrn-228	what songs did mozart write?	what songs did mozart write
WebQTrn-229	what language do they speak in thai?	what language do they speak in thai
WebQTrn-230	who is the new senator of montana?	who is the new senator of montana
WebQTrn-231	which airport to fly in rome?	which airport to fly in rome
WebQTrn-232	where are the ruins of pompeii?	where are the ruins of pompeii
WebQTrn-233	what language people speak in afghanistan?	what language people speak in afghanistan
WebQTrn-234	what language do people speak in brazil wikipedia?	what language do people speak in brazil wikipedia
WebQTrn-235	what cities should i visit in california?	what cities should i visit in california
WebQTrn-236	where was princess leia raised?	where was princess leia raised
WebQTrn-237	what is the name of the pittsburgh steelers head coach?	what is the name of the pittsburgh steelers head coach
WebQTrn-238	when does canada's wonderland close?	when does canada 's wonderland close
WebQTrn-239	when did the lakers win the championship?	when did the lakers win the championship
WebQTrn-240	what year was the great san francisco fire?	what year was the great san francisco fire
WebQTrn-241	what countries share borders with france?	what countries share borders with france
WebQTrn-242	what did patrick swayze sing?	what did patrick swayze sing
WebQTrn-243	what style of art is salvador dali?	what style of art is salvador dali
WebQTrn-244	what city was leonardo da vinci from?	what city was leonardo da vinci from
WebQTrn-245	what did george v die of?	what did george v die of
WebQTrn-246	what are the three major rivers in south america?	what are the three major rivers in south america
WebQTrn-247	what other discoveries did isaac newton discover?	what other discoveries did isaac newton discover
WebQTrn-248	who started pixar?	who started pixar
WebQTrn-249	who is tia and tamera mowry parents?	who is tia and tamera mowry parents
WebQTrn-250	what political party was lincoln?	what political party was lincoln
WebQTrn-251	what would have happened if germany had won ww1?	what would have happened if germany had won ww1
WebQTrn-252	what kind of government is china?	what kind of government is china
WebQTrn-253	where is the nation of greece located?	where is the nation of greece located
WebQTrn-254	what three countries does mexico border?	what three countries does mexico border
WebQTrn-255	what year was the new york blackout?	what year was the new york blackout
WebQTrn-256	which countries have english as native language?	which countries have english as native language
WebQTrn-257	what position does rafael furcal play?	what position does rafael furcal play
WebQTrn-258	what are major exports of the usa?	what are major exports of the usa
WebQTrn-259	what shows did kellie martin star in?	what shows did kellie martin star in
WebQTrn-260	where did rihanna grow up?	where did rihanna grow up
WebQTrn-261	where is whistler mountain located?	where is whistler mountain located
WebQTrn-262	what currency do i need in cuba?	what currency do i need in cuba
WebQTrn-263	what country did james cook come from?	what country did james cook come from
WebQTrn-264	who is julia roberts married to 2012?	who is julia roberts married to 2012
WebQTrn-265	what sport does rebecca adlington compete in?	what sport does rebecca adlington compete in
WebQTrn-266	when did the christchurch quake happened?	when did the christchurch quake happened
WebQTrn-267	what other countries does canada trade with?	what other countries does canada trade with
WebQTrn-268	what to see in singapore at night?	what to see in singapore at night
WebQTrn-269	who played mason capwell?	who played mason capwell
WebQTrn-270	what is james madison most famous for?	what is james madison most famous for
WebQTrn-271	who did the maccabees revolted against?	who did the maccabees revolted against
WebQTrn-272	where was the battle of antietam creek?	where was the battle of antietam creek
WebQTrn-273	during what war did abraham lincoln serve as president?	during what war did abraham lincoln serve as president
WebQTrn-274	who are shakespeare's parents names?	who are shakespeare 's parents names
WebQTrn-275	where is she from shakira?	where is she from shakira
WebQTrn-276	who plays captain kirk in 2009?	who plays captain kirk in 2009
WebQTrn-277	who did hera marry?	who did hera marry
WebQTrn-278	what type of guitar does kirk hammett play?	what type of guitar does kirk hammett play
WebQTrn-279	what language they speak in the philippines?	what language they speak in the philippines
WebQTrn-280	where is the kakadu national park located?	where is the kakadu national park located
WebQTrn-281	what to do with kids in denver today?	what to do with kids in denver today
WebQTrn-282	what money does jamaica use?	what money does jamaica use
WebQTrn-283	what year did william mckinley became president?	what year did william mckinley became president
WebQTrn-284	what date did kennedy become president?	what date did kennedy become president
WebQTrn-285	what timezone is colorado in right now?	what timezone is colorado in right now
WebQTrn-286	who owns aston martin 2012?	who owns aston martin 2012
WebQTrn-287	what disease has jack osbourne got?	what disease has jack osbourne got
WebQTrn-288	what do the islamic believe?	what do the islamic believe
WebQTrn-289	who will david beckham play for in 2013?	who will david beckham play for in 2013
WebQTrn-290	what language they speak in taiwan?	what language they speak in taiwan
WebQTrn-291	who owns the toronto maple leafs?	who owns the toronto maple leafs
WebQTrn-292	what county is novato california in?	what county is novato california in
WebQTrn-293	what are the basic beliefs of sikhism?	what are the basic beliefs of sikhism
WebQTrn-294	where did hernando cortez die?	where did hernando cortez die
WebQTrn-295	who was liz taylor married too?	who was liz taylor married too
WebQTrn-296	where was the ancient region of mesopotamia?	where was the ancient region of mesopotamia
WebQTrn-297	who was real housewives brandi married to?	who was real housewives brandi married to
WebQTrn-298	when did the charlotte bobcats first play in the nba?	when did the charlotte bobcats first play in the nba
WebQTrn-299	what's the book hitler wrote in prison?	what 's the book hitler wrote in prison
WebQTrn-300	where is the ottoman empire located?	where is the ottoman empire located
WebQTrn-301	which city held the summer olympics twice?	which city held the summer olympics twice
WebQTrn-302	who are the green bay packers owned by?	who are the green bay packers owned by
WebQTrn-303	what inspired langston hughes to write poetry?	what inspired langston hughes to write poetry
WebQTrn-304	what languages are there in switzerland?	what languages are there in switzerland
WebQTrn-305	when was the last time the orioles had a winning season?	when was the last time the orioles had a winning season
WebQTrn-306	what does australia export?	what does australia export
WebQTrn-307	where did henry knox die?	where did henry knox die
WebQTrn-308	who was the queen of the iceni tribe?	who was the queen of the iceni tribe
WebQTrn-309	what is the name of the first prophet of islam?	what is the name of the first prophet of islam
WebQTrn-310	who is married to garry trudeau?	who is married to garry trudeau
WebQTrn-311	where does norway get their oil?	where does norway get their oil
WebQTrn-312	what language do they speak in northern ireland?	what language do they speak in northern ireland
WebQTrn-313	what countries make up continental europe?	what countries make up continental europe
WebQTrn-314	what do abrahamic religions have in common?	what do abrahamic religions have in common
WebQTrn-315	what did johnny crawford sing?	what did johnny crawford sing
WebQTrn-316	what did abraham lincoln do before he was president?	what did abraham lincoln do before he was president
WebQTrn-317	what sport does sally pearson compete in?	what sport does sally pearson compete in
WebQTrn-318	where is atlanta texas located?	where is atlanta texas located
WebQTrn-319	who did elton john marry first?	who did elton john marry first
WebQTrn-320	where is tom cruise from?	where is tom cruise from
WebQTrn-321	what movies did madonna appear in?	what movies did madonna appear in
WebQTrn-322	where does leland chapman live now?	where does leland chapman live now
WebQTrn-323	where was the roman colosseum located?	where was the roman colosseum located
WebQTrn-324	what date was abraham lincoln inaugurated?	what date was abraham lincoln inaugurated
WebQTrn-325	what invention did henry ford invent?	what invention did henry ford invent
WebQTrn-326	what time zone is new york under?	what time zone is new york under
WebQTrn-327	when did mayans predict end of the world?	when did mayans predict end of the world
WebQTrn-328	what is the name of the book hitler wrote while in prison?	what is the name of the book hitler wrote while in prison
WebQTrn-329	who voiced meg in the pilot?	who voiced meg in the pilot
WebQTrn-330	what albert einstein do for math?	what albert einstein do for math
WebQTrn-331	where did bashar al assad study?	where did bashar al assad study
WebQTrn-332	who plays lois lane in superman returns?	who plays lois lane in superman returns
WebQTrn-333	what did joseph lister do for science?	what did joseph lister do for science
WebQTrn-334	who is the voice of stewie griffin from family guy?	who is the voice of stewie griffin from family guy
WebQTrn-335	who uses new king james bible?	who uses new king james bible
WebQTrn-336	what films did charlie chaplin direct?	what films did charlie chaplin direct
WebQTrn-337	who does lea michele dating in real life?	who does lea michele dating in real life
WebQTrn-338	when did joe walsh leave the eagles?	when did joe walsh leave the eagles
WebQTrn-339	when was the musical annie written?	when was the musical annie written
WebQTrn-340	what should you see in london?	what should you see in london
WebQTrn-341	who does billy beane work for now?	who does billy beane work for now
WebQTrn-342	what subatomic particles did jj thomson discover?	what subatomic particles did jj thomson discover
WebQTrn-343	what films have taylor lautner been in?	what films have taylor lautner been in
WebQTrn-344	who were anakin skywalker's parents?	who were anakin skywalker 's parents
WebQTrn-345	what country is the name natalie from?	what country is the name natalie from
WebQTrn-346	who played the voice of aladdin?	who played the voice of aladdin
WebQTrn-347	what exactly did dale earnhardt die from?	what exactly did dale earnhardt die from
WebQTrn-348	what year did miami heat win the championship?	what year did miami heat win the championship
WebQTrn-349	what kind of government did benito mussolini have?	what kind of government did benito mussolini have
WebQTrn-350	who was emperor diocletian?	who was emperor diocletian
WebQTrn-351	who is chelsea kane?	who is chelsea kane
WebQTrn-352	who is darwin and what is his theory?	who is darwin and what is his theory
WebQTrn-353	what did obama study in school?	what did obama study in school
WebQTrn-354	where did deion sanders play baseball?	where did deion sanders play baseball
WebQTrn-355	who is the new governor of oregon?	who is the new governor of oregon
WebQTrn-356	what continent is south africa part of?	what continent is south africa part of
WebQTrn-357	who was michael jackson's best friend?	who was michael jackson 's best friend
WebQTrn-358	what movies has taylor lautner been in 2011?	what movies has taylor lautner been in 2011
WebQTrn-359	where does the australian prime minister reside?	where does the australian prime minister reside
WebQTrn-360	what did kate winslet get an oscar for?	what did kate winslet get an oscar for
WebQTrn-361	what company did henry ford work for?	what company did henry ford work for
WebQTrn-362	what happened to thomas cromwell's children?	what happened to thomas cromwell 's children
WebQTrn-363	where indian ocean is located?	where indian ocean is located
WebQTrn-364	what year was the navy chief established?	what year was the navy chief established
WebQTrn-365	what year did the orioles win 100 games?	what year did the orioles win 100 games
WebQTrn-366	who was mary's mother?	who was mary 's mother
WebQTrn-367	where is american express located?	where is american express located
WebQTrn-368	what is the china money called?	what is the china money called
WebQTrn-369	what is the government of spain today?	what is the government of spain today
WebQTrn-370	where is the howard university located?	where is the howard university located
WebQTrn-371	where did terrell owens get traded to?	where did terrell owens get traded to
WebQTrn-372	what do catholics call their god?	what do catholics call their god
WebQTrn-373	what is the capital of alaska state?	what is the capital of alaska state
WebQTrn-374	what was the soviet union?	what was the soviet union
WebQTrn-375	what college did jeff corwin go to?	what college did jeff corwin go to
WebQTrn-376	who speaks farsi?	who speaks farsi
WebQTrn-377	who was neptune discovered by?	who was neptune discovered by
WebQTrn-378	who were the major trade partners of russia?	who were the major trade partners of russia
WebQTrn-379	what did corey haim really die of?	what did corey haim really die of
WebQTrn-380	where did pavlova originate?	where did pavlova originate
WebQTrn-381	where did nathaniel hawthorne die?	where did nathaniel hawthorne die
WebQTrn-382	where did jack johnson go to high school?	where did jack johnson go to high school
WebQTrn-383	who played maxie jones on general hospital?	who played maxie jones on general hospital
WebQTrn-384	what military school did poe attend?	what military school did poe attend
WebQTrn-385	what are buddhist gods?	what are buddhist gods
WebQTrn-386	who influenced wolfgang amadeus mozart?	who influenced wolfgang amadeus mozart
WebQTrn-387	when was the last dallas cowboys super bowl win?	when was the last dallas cowboys super bowl win
WebQTrn-388	what language do they speak in iceland wikipedia?	what language do they speak in iceland wikipedia
WebQTrn-389	when was blessed kateri born?	when was blessed kateri born
WebQTrn-390	when did the bali bombings occur?	when did the bali bombings occur
WebQTrn-391	what is the political system in south africa?	what is the political system in south africa
WebQTrn-392	what is the currency in croatia 2012?	what is the currency in croatia 2012
WebQTrn-393	where did joe montana go to high school?	where did joe montana go to high school
WebQTrn-394	what cases does the supreme court have original jurisdiction over?	what cases does the supreme court have original jurisdiction over
WebQTrn-395	where is the nation of palestine?	where is the nation of palestine
WebQTrn-396	what are the greek titans?	what are the greek titans
WebQTrn-397	what countries speak english primarily?	what countries speak english primarily
WebQTrn-398	what states does the missouri river touch?	what states does the missouri river touch
WebQTrn-399	what is in liverpool england?	what is in liverpool england
WebQTrn-400	what state is harvard college located?	what state is harvard college located
WebQTrn-401	where was leonardo da vinci when he died?	where was leonardo da vinci when he died
WebQTrn-402	what money do japanese use?	what money do japanese use
WebQTrn-403	what is the time zone in oklahoma city?	what is the time zone in oklahoma city
WebQTrn-404	what killed whitney houston?	what killed whitney houston
WebQTrn-405	what kind of government did the mali empire have?	what kind of government did the mali empire have
WebQTrn-406	what is the religion of israel people?	what is the religion of israel people
WebQTrn-407	what is mount st helens?	what is mount st helens
WebQTrn-408	what airport is closest to sandals grande in st lucia?	what airport is closest to sandals grande in st lucia
WebQTrn-409	which country is north of the usa?	which country is north of the usa
WebQTrn-410	where does drew gordon play?	where does drew gordon play
WebQTrn-411	who was the first russian president?	who was the first russian president
WebQTrn-412	what language does people in netherlands speak?	what language does people in netherlands speak
WebQTrn-413	what type of language does china speak?	what type of language does china speak
WebQTrn-414	what countries around the world speak french?	what countries around the world speak french
WebQTrn-415	who is esther hicks?	who is esther hicks
WebQTrn-416	what does michael vick do?	what does michael vick do
WebQTrn-417	in which province is johannesburg?	in which province is johannesburg
WebQTrn-418	where was john lennon standing when he was shot?	where was john lennon standing when he was shot
WebQTrn-419	what time do atlantic city bars close?	what time do atlantic city bars close
WebQTrn-420	what state did al gore represent?	what state did al gore represent
